TITLE,SESSION_START,SESSION_END,LOCATION
Registration and breakfast,21-SEP-2020 07:30,21-SEP-2020 08:15,Lobby
Opening keynote,21-SEP-2020 08:15,21-SEP-2020 09:15,Main Ballroom
,21-SEP-2020 09:15,21-SEP-2020 10:15,Main Ballroom
Coffee break,21-SEP-2020 10:15,21-SEP-2020 10:30,Foyer
,21-SEP-2020 10:30,21-SEP-2020 11:30,Main Ballroom
,21-SEP-2020 11:30,21-SEP-2020 12:30,Main Ballroom
Lunch,21-SEP-2020 12:30,21-SEP-2020 13:30,Dinning Hall
,21-SEP-2020 13:30,21-SEP-2020 14:30,Main Ballroom
,21-SEP-2020 14:30,21-SEP-2020 15:30,Main Ballroom
Coffee break,21-SEP-2020 15:30,21-SEP-2020 15:45,Foyer
,21-SEP-2020 15:45,21-SEP-2020 16:45,Main Ballroom
,21-SEP-2020 16:45,21-SEP-2020 17:45,Main Ballroom
Closing remarks,21-SEP-2020 17:45,21-SEP-2020 18:00,Main Ballroom
Evening social,21-SEP-2020 18:00,21-SEP-2020 20:00,Cloudy Days Pub